stn,Year,Month,Monthly Rainfall(mm),Evapotranspiration (mm),Earth Skin Temperature,Water depth(m)
RSM-41,2019,1,0,102.8,24.12,3.25
RSM-41,2019,2,377.2,66.8,26.81,3.75
RSM-41,2019,3,262.1,78.7,30.16,3.9
RSM-41,2019,4,362.5,37.2,32.26,3.8
RSM-41,2019,5,82.7,73.3,31.4,3.49
RSM-41,2019,6,2.4,48.4,30.88,3.03
RSM-41,2019,7,119.4,40.6,30.72,2.54
RSM-41,2019,8,35.5,64.1,28.66,2.05
RSM-41,2019,9,3.5,73.6,27.99,1.58
RSM-41,2019,10,1,60.5,26.27,1.13
RSM-41,2019,11,64.8,107.9,25.96,1.71
RSM-41,2019,12,108.5,105,24.92,2.25
RSM-44,2017,1,158.5,77,25.17,2
RSM-44,2017,2,143,75.2,26.35,1.45
RSM-44,2017,3,233.8,79,26.82,1.1
RSM-44,2017,4,94.5,49.4,29.33,1.05
RSM-44,2017,5,48.3,61.5,28.77,1.4
RSM-44,2017,6,131.1,75.7,28.15,1.82
RSM-44,2017,7,58.8,66.9,28.77,1.85
RSM-44,2017,8,133.9,75.4,28.47,1.21
RSM-44,2017,9,7.2,90.2,27.85,0.38
RSM-44,2017,10,11.8,63.6,27.58,0.05
RSM-44,2017,11,98.9,86.4,25.34,0.62
RSM-44,2017,12,182.6,92.5,24.57,1.64
RSM-44,2018,1,35.2,94,24.33,2.5
RSM-44,2018,2,424.8,87.3,26.78,2.69
RSM-44,2018,3,234.9,59.9,28.14,2.45
RSM-44,2018,4,125.4,44,29.18,2.1
RSM-44,2018,5,38,69.8,26.91,1.94
RSM-44,2018,6,60.3,80.3,26.3,1.83
RSM-44,2018,7,118.6,59.5,26.88,1.54
RSM-44,2018,8,260.2,41.4,27.6,0.93
RSM-44,2018,9,6,52.4,28.95,0.34
RSM-44,2018,10,0.4,62.1,26.12,0.21
RSM-44,2018,11,38.2,88.2,25.14,0.81
RSM-44,2018,12,175.9,88,24.27,1.74
RSM-44,2019,1,0,76,24.12,2.5
RSM-44,2019,2,385.3,63.5,26.66,2.67
RSM-44,2019,3,267.5,38.7,29.85,2.45
RSM-44,2019,4,394.6,25,31.93,2.1
RSM-44,2019,5,68,55,30.75,1.88
RSM-44,2019,6,2.4,53.2,29.85,1.73
RSM-44,2019,7,121,40.8,29.75,1.54
RSM-44,2019,8,43.7,52,27.98,1.19
RSM-44,2019,9,5.3,66.7,27.41,0.72
RSM-44,2019,10,1.1,59.9,25.9,0.21
RSM-44,2019,11,66.5,98.2,25.7,0.95
RSM-44,2019,12,110,95.9,24.78,1.48
